--- Starting Training for Transformer ---
Epoch 1 | Loss: 1.1104 | Train: 33.7% | Val: 32.5% | Time: 2771.2s
Epoch 2 | Loss: 1.0485 | Train: 42.3% | Val: 48.4% | Time: 2699.5s
Epoch 3 | Loss: 0.9570 | Train: 49.2% | Val: 48.1% | Time: 2690.2s
Epoch 4 | Loss: 0.9333 | Train: 49.9% | Val: 52.6% | Time: 2679.8s
Epoch 5 | Loss: 0.9271 | Train: 50.5% | Val: 52.0% | Time: 2667.5s
Epoch 6 | Loss: 0.9220 | Train: 51.1% | Val: 49.8% | Time: 2648.5s
Epoch 7 | Loss: 0.9160 | Train: 51.7% | Val: 52.9% | Time: 2657.5s
Epoch 8 | Loss: 0.9119 | Train: 51.6% | Val: 54.0% | Time: 2640.7s
Epoch 9 | Loss: 0.9071 | Train: 52.4% | Val: 52.0% | Time: 2634.9s
Epoch 10 | Loss: 0.9045 | Train: 52.9% | Val: 53.6% | Time: 2634.8s
Epoch 11 | Loss: 0.8972 | Train: 53.6% | Val: 55.1% | Time: 2630.1s
Epoch 12 | Loss: 0.8908 | Train: 54.4% | Val: 54.8% | Time: 2629.5s
Epoch 13 | Loss: 0.8735 | Train: 56.7% | Val: 61.2% | Time: 2629.6s
Epoch 14 | Loss: 0.8423 | Train: 59.2% | Val: 62.0% | Time: 2632.7s
Epoch 15 | Loss: 0.8097 | Train: 61.6% | Val: 64.7% | Time: 2636.6s
Epoch 16 | Loss: 0.7676 | Train: 63.8% | Val: 66.5% | Time: 2640.7s
Epoch 17 | Loss: 0.7481 | Train: 65.1% | Val: 67.1% | Time: 2639.9s
Epoch 18 | Loss: 0.7258 | Train: 66.3% | Val: 68.4% | Time: 2655.2s
Epoch 19 | Loss: 0.7135 | Train: 66.8% | Val: 69.3% | Time: 2629.5s
Epoch 20 | Loss: 0.7023 | Train: 67.4% | Val: 68.6% | Time: 2634.9s
Epoch 21 | Loss: 0.6950 | Train: 67.8% | Val: 68.2% | Time: 2632.5s
Epoch 22 | Loss: 0.6913 | Train: 68.2% | Val: 69.3% | Time: 2628.6s
Epoch 23 | Loss: 0.6867 | Train: 68.5% | Val: 65.0% | Time: 2629.8s
Epoch 24 | Loss: 0.6472 | Train: 70.1% | Val: 70.2% | Time: 2628.5s
Epoch 25 | Loss: 0.6423 | Train: 70.5% | Val: 71.2% | Time: 2627.5s
Epoch 26 | Loss: 0.6415 | Train: 70.3% | Val: 70.8% | Time: 2634.8s
Epoch 27 | Loss: 0.6382 | Train: 70.6% | Val: 70.9% | Time: 2630.6s
Epoch 28 | Loss: 0.6354 | Train: 70.7% | Val: 69.5% | Time: 2638.8s
Epoch 29 | Loss: 0.6327 | Train: 70.8% | Val: 70.7% | Time: 2626.4s
Epoch 30 | Loss: 0.6138 | Train: 72.2% | Val: 72.3% | Time: 2629.5s
Epoch 31 | Loss: 0.6109 | Train: 72.1% | Val: 71.5% | Time: 2627.5s
Epoch 32 | Loss: 0.6075 | Train: 72.3% | Val: 71.6% | Time: 2623.9s
Epoch 33 | Loss: 0.6087 | Train: 72.2% | Val: 73.1% | Time: 2619.7s
Epoch 34 | Loss: 0.6056 | Train: 72.2% | Val: 71.9% | Time: 2617.7s
Epoch 35 | Loss: 0.6075 | Train: 72.2% | Val: 73.0% | Time: 2624.3s
Epoch 36 | Loss: 0.6087 | Train: 72.2% | Val: 72.9% | Time: 2621.2s
Epoch 37 | Loss: 0.6039 | Train: 72.6% | Val: 72.2% | Time: 2623.3s
Epoch 38 | Loss: 0.5961 | Train: 72.9% | Val: 72.7% | Time: 2616.0s
Epoch 39 | Loss: 0.5914 | Train: 73.2% | Val: 73.0% | Time: 2628.5s
Epoch 40 | Loss: 0.5929 | Train: 72.9% | Val: 73.1% | Time: 2646.4s
Epoch 41 | Loss: 0.5926 | Train: 72.8% | Val: 72.9% | Time: 2626.5s
Epoch 42 | Loss: 0.5859 | Train: 73.2% | Val: 73.6% | Time: 2629.6s
Epoch 43 | Loss: 0.5861 | Train: 73.3% | Val: 72.8% | Time: 2625.3s
Epoch 44 | Loss: 0.5841 | Train: 73.6% | Val: 73.3% | Time: 2628.2s
Epoch 45 | Loss: 0.5857 | Train: 73.3% | Val: 72.3% | Time: 2627.0s
Epoch 46 | Loss: 0.5863 | Train: 73.3% | Val: 73.3% | Time: 2628.5s
Epoch 47 | Loss: 0.5806 | Train: 73.5% | Val: 73.4% | Time: 2620.8s
Epoch 48 | Loss: 0.5826 | Train: 73.5% | Val: 73.4% | Time: 2634.9s
Epoch 49 | Loss: 0.5796 | Train: 73.5% | Val: 74.0% | Time: 2624.1s
Epoch 50 | Loss: 0.5821 | Train: 73.4% | Val: 73.4% | Time: 2626.0s
Epoch 51 | Loss: 0.5799 | Train: 73.5% | Val: 73.2% | Time: 2660.6s
Epoch 52 | Loss: 0.5790 | Train: 73.7% | Val: 73.5% | Time: 2646.0s
Epoch 53 | Loss: 0.5806 | Train: 73.6% | Val: 73.4% | Time: 2630.9s
Epoch 54 | Loss: 0.5780 | Train: 73.6% | Val: 73.8% | Time: 2632.2s
Epoch 55 | Loss: 0.5774 | Train: 73.7% | Val: 73.8% | Time: 2615.2s
Epoch 56 | Loss: 0.5783 | Train: 73.8% | Val: 73.6% | Time: 2623.2s
Epoch 57 | Loss: 0.5802 | Train: 73.6% | Val: 73.6% | Time: 2625.1s
Epoch 58 | Loss: 0.5773 | Train: 73.8% | Val: 74.0% | Time: 2623.5s
Epoch 59 | Loss: 0.5763 | Train: 73.7% | Val: 73.8% | Time: 2623.3s
Epoch 60 | Loss: 0.5749 | Train: 73.8% | Val: 74.0% | Time: 2628.5s
Epoch 61 | Loss: 0.5781 | Train: 73.7% | Val: 73.3% | Time: 2620.2s
Epoch 62 | Loss: 0.5757 | Train: 73.9% | Val: 73.1% | Time: 2626.6s
Epoch 63 | Loss: 0.5769 | Train: 73.7% | Val: 73.9% | Time: 2638.3s
Epoch 64 | Loss: 0.5734 | Train: 74.0% | Val: 73.7% | Time: 2633.4s
Epoch 65 | Loss: 0.5778 | Train: 73.7% | Val: 73.4% | Time: 2623.5s
Epoch 66 | Loss: 0.5731 | Train: 73.8% | Val: 74.0% | Time: 2630.6s
Epoch 67 | Loss: 0.5768 | Train: 74.0% | Val: 73.9% | Time: 2618.3s
Epoch 68 | Loss: 0.5752 | Train: 74.0% | Val: 73.4% | Time: 2616.8s
Epoch 69 | Loss: 0.5774 | Train: 73.6% | Val: 73.0% | Time: 2618.5s
Epoch 70 | Loss: 0.5746 | Train: 74.0% | Val: 73.7% | Time: 2615.3s
Epoch 71 | Loss: 0.5743 | Train: 73.9% | Val: 73.4% | Time: 2617.1s
Epoch 72 | Loss: 0.5746 | Train: 74.0% | Val: 74.1% | Time: 2623.3s
Epoch 73 | Loss: 0.5739 | Train: 74.2% | Val: 73.4% | Time: 2627.2s
Epoch 74 | Loss: 0.5758 | Train: 73.9% | Val: 74.0% | Time: 2636.0s
Epoch 75 | Loss: 0.5756 | Train: 73.8% | Val: 74.0% | Time: 2653.3s
Epoch 76 | Loss: 0.5768 | Train: 73.7% | Val: 73.9% | Time: 2632.6s
Epoch 77 | Loss: 0.5767 | Train: 73.9% | Val: 73.6% | Time: 2624.1s
Epoch 78 | Loss: 0.5734 | Train: 74.1% | Val: 74.0% | Time: 2627.8s
Epoch 79 | Loss: 0.5761 | Train: 73.9% | Val: 73.6% | Time: 2635.3s
Epoch 80 | Loss: 0.5739 | Train: 73.8% | Val: 74.0% | Time: 2625.8s
Epoch 81 | Loss: 0.5757 | Train: 73.8% | Val: 74.0% | Time: 2627.6s
Epoch 82 | Loss: 0.5759 | Train: 73.8% | Val: 73.6% | Time: 2617.6s
Epoch 83 | Loss: 0.5741 | Train: 73.8% | Val: 74.0% | Time: 2630.9s
Epoch 84 | Loss: 0.5735 | Train: 73.9% | Val: 73.7% | Time: 2632.3s
