--- Starting Transformer | Device: cuda ---
Ep 1/50 | Loss: 1.0599 | Tr: 41.86% | Val: 49.19% | Best: 49.19%
Ep 2/50 | Loss: 0.9575 | Tr: 49.70% | Val: 51.28% | Best: 51.28%
Ep 3/50 | Loss: 0.9275 | Tr: 51.19% | Val: 52.51% | Best: 52.51%
Ep 4/50 | Loss: 0.9189 | Tr: 51.53% | Val: 52.35% | Best: 52.51%
Ep 5/50 | Loss: 0.9120 | Tr: 52.10% | Val: 52.78% | Best: 52.78%
Ep 6/50 | Loss: 0.9090 | Tr: 51.76% | Val: 52.65% | Best: 52.78%
Ep 7/50 | Loss: 0.9077 | Tr: 52.49% | Val: 52.92% | Best: 52.92%
Ep 8/50 | Loss: 0.9038 | Tr: 52.87% | Val: 53.48% | Best: 53.48%
Ep 9/50 | Loss: 0.9005 | Tr: 52.65% | Val: 53.18% | Best: 53.48%
Ep 10/50 | Loss: 0.8966 | Tr: 52.82% | Val: 53.92% | Best: 53.92%
Ep 11/50 | Loss: 0.8975 | Tr: 53.42% | Val: 52.15% | Best: 53.92%
Ep 12/50 | Loss: 0.8963 | Tr: 53.53% | Val: 53.05% | Best: 53.92%
Ep 13/50 | Loss: 0.8832 | Tr: 54.08% | Val: 52.91% | Best: 53.92%
Ep 14/50 | Loss: 0.8793 | Tr: 54.91% | Val: 53.68% | Best: 53.92%
Ep 15/50 | Loss: 0.8404 | Tr: 58.01% | Val: 58.81% | Best: 58.81%
Ep 16/50 | Loss: 0.8141 | Tr: 60.36% | Val: 60.86% | Best: 60.86%
Ep 17/50 | Loss: 0.7975 | Tr: 61.66% | Val: 63.13% | Best: 63.13%
Ep 18/50 | Loss: 0.7771 | Tr: 63.18% | Val: 62.96% | Best: 63.13%
Ep 19/50 | Loss: 0.7626 | Tr: 64.07% | Val: 65.50% | Best: 65.50%
Ep 20/50 | Loss: 0.7470 | Tr: 65.04% | Val: 64.69% | Best: 65.50%
Ep 21/50 | Loss: 0.7334 | Tr: 65.26% | Val: 64.05% | Best: 65.50%
Ep 22/50 | Loss: 0.7256 | Tr: 66.23% | Val: 67.34% | Best: 67.34%
Ep 23/50 | Loss: 0.7080 | Tr: 67.06% | Val: 66.95% | Best: 67.34%
Ep 24/50 | Loss: 0.6990 | Tr: 67.60% | Val: 68.35% | Best: 68.35%
Ep 25/50 | Loss: 0.6916 | Tr: 67.72% | Val: 69.18% | Best: 69.18%
Ep 26/50 | Loss: 0.6838 | Tr: 68.46% | Val: 69.71% | Best: 69.71%
Ep 27/50 | Loss: 0.6759 | Tr: 68.41% | Val: 68.78% | Best: 69.71%
Ep 28/50 | Loss: 0.6753 | Tr: 68.82% | Val: 69.68% | Best: 69.71%
Ep 29/50 | Loss: 0.6636 | Tr: 69.56% | Val: 69.60% | Best: 69.71%
Ep 30/50 | Loss: 0.6601 | Tr: 69.63% | Val: 70.30% | Best: 70.30%
Ep 31/50 | Loss: 0.6517 | Tr: 69.71% | Val: 71.07% | Best: 71.07%
Ep 32/50 | Loss: 0.6584 | Tr: 69.63% | Val: 69.25% | Best: 71.07%
Ep 33/50 | Loss: 0.6511 | Tr: 69.87% | Val: 70.55% | Best: 71.07%
Ep 34/50 | Loss: 0.6466 | Tr: 70.19% | Val: 70.84% | Best: 71.07%
Ep 35/50 | Loss: 0.6498 | Tr: 69.90% | Val: 69.93% | Best: 71.07%
Ep 36/50 | Loss: 0.6287 | Tr: 71.22% | Val: 71.14% | Best: 71.14%
Ep 37/50 | Loss: 0.6252 | Tr: 71.23% | Val: 72.54% | Best: 72.54%
Ep 38/50 | Loss: 0.6210 | Tr: 71.53% | Val: 72.50% | Best: 72.54%
Ep 39/50 | Loss: 0.6194 | Tr: 71.70% | Val: 72.95% | Best: 72.95%
Ep 40/50 | Loss: 0.6169 | Tr: 71.28% | Val: 72.72% | Best: 72.95%
Ep 41/50 | Loss: 0.6180 | Tr: 71.88% | Val: 72.35% | Best: 72.95%
Ep 42/50 | Loss: 0.6116 | Tr: 72.16% | Val: 72.22% | Best: 72.95%
Ep 43/50 | Loss: 0.6122 | Tr: 72.14% | Val: 72.76% | Best: 72.95%
Ep 44/50 | Loss: 0.6081 | Tr: 72.25% | Val: 73.18% | Best: 73.18%
Ep 45/50 | Loss: 0.6074 | Tr: 72.48% | Val: 73.36% | Best: 73.36%
Ep 46/50 | Loss: 0.6097 | Tr: 72.09% | Val: 73.69% | Best: 73.69%
Ep 47/50 | Loss: 0.6011 | Tr: 72.54% | Val: 73.06% | Best: 73.69%
Ep 48/50 | Loss: 0.6031 | Tr: 72.45% | Val: 73.54% | Best: 73.69%
Ep 49/50 | Loss: 0.6030 | Tr: 72.63% | Val: 73.69% | Best: 73.69%
Ep 50/50 | Loss: 0.6007 | Tr: 72.60% | Val: 73.43% | Best: 73.69%
